JD	mag	mag_err
2458329.93832	15.396196	0.014008616
2458329.93877	15.388196	0.014000162
2458338.89521	15.356998	0.01396803
2458344.89219	15.377412	0.013988903
2458360.93068	15.513739	0.014143481
2458363.83177	15.367246	0.013978438
2458381.74821	15.395156	0.014007511
2458383.75116	15.38966	0.014001702
2458384.78552	15.372879	0.013984219
2458387.75292	15.387463	0.0139993895
2458389.86623	15.381006	0.013992637
2458390.87311	15.366286	0.013977457
2458430.83617	15.647002	0.014322469
2458443.7502	15.427454	0.0140425125
2458725.92552	15.387132	0.013999043
2458725.92598	15.37654	0.013988001
2458726.93344	15.3702965	0.013981563
2458726.93389	15.381489	0.013993139
2458734.99646	15.357115	0.013968147
2458734.99691	15.355563	0.013966583
2458737.9019	15.365729	0.013976888
2458737.90235	15.370597	0.013981871
2458764.87225	15.38085	0.013992475
2458764.8727	15.39212	0.014004298
2458765.76742	15.394066	0.014006356
2458766.76793	15.380552	0.013992166
2458766.76838	15.391934	0.014004101
2458767.81822	15.353362	0.01396437
2458767.81867	15.358653	0.0139697
2458772.69742	15.382325	0.013994013
2458772.69787	15.379696	0.013991275
2458783.68971	15.752318	0.014485764
2458791.67013	15.37508	0.01398649
2458793.66955	15.368513	0.013979734
2458793.67	15.354744	0.0139657585
2458794.66929	15.371141	0.013982431
2458794.66974	15.379146	0.013990703
2458795.68312	15.395969	0.014008373
2458795.68357	15.389922	0.014001979
2458798.65719	15.391583	0.01400373
2458798.65764	15.372945	0.013984287
2458849.61953	15.364034	0.013975161
2458849.6247	15.365277	0.013976427
2459046.99017	15.393229	0.014005469
2459053.91213	15.383602	0.013995347
2459060.86867	15.374528	0.01398592
