JD	mag	mag_err
2458653.97578	14.870099	0.011869978
2459093.80511	14.516906	0.0117338
2459097.89113	14.506072	0.011730978
2459121.76316	14.494354	0.011728007
2459130.7229	14.500286	0.0117295
2459130.82159	14.490034	0.011726932
2459131.78759	14.502853	0.011730154
2459131.80317	14.5191965	0.011734407
2459134.84315	14.508428	0.0117315855
2459134.86104	14.509338	0.011731821
2459135.69977	14.497248	0.011728732
2459135.82053	14.498497	0.011729049
2459136.76468	14.479147	0.011724275
2459136.78516	14.501832	0.011729893
2459137.78387	14.504294	0.011730522
2459137.80121	14.466882	0.011721363
2459138.65592	14.476333	0.011723598
2459138.67745	14.483763	0.011725392
2459138.69108	14.519707	0.0117345415
2459139.66632	14.526971	0.011736487
2459139.82025	14.474526	0.011723167
2459141.76911	14.805969	0.011838277
2459142.8057	14.505282	0.011730776
2459142.82997	14.504801	0.011730651
2459142.83392	14.506821	0.011731171
2459143.74228	14.506649	0.011731127
2459143.75303	14.508487	0.011731601
2459143.76026	14.492593	0.011727568
2459144.76556	14.516113	0.011733592
2459144.8083	14.491706	0.011727346
2459145.80326	14.498621	0.011729079
2459145.82039	14.489554	0.011726813
2459152.64608	14.513407	0.011732881
2459152.65915	14.496676	0.0117285885
2459153.76165	14.505966	0.011730951
2459153.79252	14.492691	0.011727592
2459155.80219	14.515783	0.011733505
2459155.81866	14.508979	0.011731729
2459157.76596	14.513661	0.011732948
2459157.78214	14.499731	0.011729361
2459158.74409	14.508826	0.011731688
2459158.76085	14.505812	0.011730911
2459165.62317	14.51839	0.011734191
2459165.63497	14.484503	0.011725573
2459166.87624	14.506533	0.011731097
