JD	mag	mag_err
2458244.9838	13.390867	0.010497823
2458246.94771	13.387349	0.010496723
2458247.96619	13.416906	0.010506051
2458249.95015	13.394434	0.010498942
2458249.96583	13.387924	0.010496903
2458254.98708	13.398156	0.010500111
2458255.96483	13.410352	0.010503965
2458256.92379	13.419593	0.0105069075
2458256.96605	13.430112	0.010510281
2458257.92188	13.417434	0.010506219
2458257.96849	13.426572	0.010509144
2458258.95375	13.413182	0.010504865
2458263.87746	13.400602	0.010500882
2458266.88248	13.419055	0.010506737
2458268.95156	13.406795	0.0105028385
2458269.92508	13.435304	0.010511955
2458270.92593	13.417557	0.010506259
2458271.94784	13.386756	0.010496537
2458272.96349	13.429035	0.010509935
2458273.92498	13.417122	0.01050612
2458274.97125	13.42791	0.010509574
2458276.96659	13.411836	0.010504438
2458277.93098	13.410041	0.010503868
2458278.9692700002	13.415394	0.010505568
2458279.92932	13.417285	0.010506172
2458280.87018	13.414347	0.010505236
2458281.96961	13.417563	0.01050626
2458282.9687	13.394875	0.01049908
2458283.8867	13.40836	0.010503334
2458285.90713	13.418852	0.010506673
2458286.9755	13.407952	0.0105032055
2458287.96534	13.41708	0.0105061075
2458288.97288	13.392956	0.010498477
2458289.97701	13.387253	0.010496693
2458290.97595	13.4056	0.01050246
2458291.97149	13.401131	0.0105010485
2458292.9705	13.405782	0.010502518
2458293.97258	13.404898	0.010502238
2458294.97219	13.41347	0.010504957
2458296.86498	13.402472	0.010501471
2458298.94618	13.397945	0.010500045
2458299.91429	13.3962965	0.010499527
2458300.92825	13.396043	0.010499447
2458301.94969	13.407149	0.010502951
2458303.97808	13.412444	0.010504631
2458304.88312	13.412323	0.010504592
2458305.90354	13.391003	0.010497866
2458307.91057	13.403306	0.010501735
2458310.9257	13.422142	0.010507723
2458312.9279	13.416813	0.010506022
2458316.94845	13.412241	0.010504566
2458319.95771	13.405596	0.010502459
2458320.8876	13.436786	0.010512434
2458321.96759	13.404666	0.010502164
2458322.90504	13.423401	0.010508127
2458323.97745	13.386072	0.010496325
2458324.97402	13.410547	0.010504028
2458325.97376	13.406214	0.010502654
2458326.89578	13.387274	0.00942848
2458326.89625	13.38606	0.009428269
2458326.91423	13.418288	0.010506492
2458327.87042	13.4116955	0.009432799
2458327.87088	13.34696	0.009421607
2458327.90356	13.418332	0.010506506
2458328.86902	13.372778	0.009425973
2458328.86947	13.346887	0.009421594
2458328.90657	13.396111	0.010499468
2458329.86345	13.414719	0.010505354
2458330.8882	13.38265	0.009427677
2458330.88866	13.379863	0.009427193
2458330.90258	13.373162	0.010492314
2458331.88675	13.379035	0.00942705
2458331.88721	13.3598385	0.009423768
2458332.88078	13.389241	0.009428824
2458332.88123	13.396779	0.009430148
2458333.83866	13.429626	0.010510126
2458334.8623099998	13.399533	0.010500545
2458334.90263	13.385667	0.009428199
2458334.90309	13.387851	0.009428581
2458335.85779	13.398387	0.010500183
2458335.88117	13.391981	0.009429303
2458335.88163	13.387065	0.009428443
2458336.84644	13.401878	0.010501285
2458336.87268	13.383539	0.00942783
2458336.87313	13.399555	0.009430638
2458337.84555	13.407343	0.010503013
2458338.8439	13.41704	0.0105060935
2458342.84326	13.402874	0.0105016
2458343.8639	13.384392	0.0104958005
2458344.93367	13.389596	0.010497426
2458345.85395	13.387097	0.00942845
2458345.86096	13.406541	0.010502758
2458346.89204	13.417984	0.010506395
2458347.90926	13.423479	0.010508153
2458349.82654	13.408053	0.010503237
2458350.89063	13.416964	0.010506069
2458351.88305	13.402815	0.01050158
2458352.82455	13.391331	0.010497969
2458353.81479	13.385208	0.009428121
2458353.93657	13.400904	0.010500977
2458353.97215	13.40345	0.010501781
2458354.78949	13.3912945	0.009429184
2458354.81912	13.393804	0.0104987435
2458354.9278	13.383127	0.010495407
2458355.81008	13.378872	0.009427021
2458355.84051	13.381361	0.010494856
2458355.93361	13.3723755	0.01049207
2458356.80517	13.377403	0.009426768
2458356.88028	13.392115	0.010498214
2458356.96572	13.39086	0.010497821
2458357.72213	13.396021	0.01049944
2458357.8252	13.367488	0.009425067
2458357.91476	13.413479	0.010504959
2458358.91038	13.382422	0.010495187
2458359.85222	13.374289	0.009426232
2458359.88123	13.37444	0.010492709
2458360.81274	13.399989	0.009430714
2458360.83836	13.409153	0.010503585
2458361.80319	13.402315	0.010501423
2458361.82455	13.37817	0.0094269
2458362.82224	13.395427	0.010499253
2458362.8551	13.410185	0.009432529
2458363.78401	13.395306	0.010499215
2458364.80842	13.403112	0.010501674
2458364.85703	13.398673	0.009430482
2458365.84615	13.409561	0.010503714
2458365.87667	13.392191	0.009429339
2458366.83625	13.399731	0.010500607
2458367.83639	13.400948	0.010500991
2458368.8041	13.385259	0.010496071
2458368.82357	13.391104	0.00942915
2458369.88659	13.401165	0.01050106
2458370.80143	13.390889	0.010497831
2458371.81106	13.3950615	0.010499138
2458372.86702	13.402102	0.010501355
2458373.8062	13.397332	0.010499852
2458374.82938	13.390172	0.010497606
2458375.86567	13.411664	0.010504383
2458376.87077	13.403809	0.010501893
2458377.79295	13.400566	0.01050087
2458378.76833	13.389851	0.0094289305
2458378.78713	13.408638	0.010503422
2458379.77125	13.427935	0.0094357375
2458379.80452	13.401306	0.010501104
2458380.82804	13.410746	0.01050409
2458382.84947	13.408837	0.010503485
2458383.80706	13.390393	0.010497675
2458384.70276	13.390925	0.010497841
2458385.76942	13.414302	0.010505221
2458386.7765	13.398914	0.01050035
2458387.929	13.406784	0.010502835
2458388.75736	13.401558	0.010501184
2458389.75598	13.415797	0.010505697
2458390.69492	13.417371	0.010506199
2458400.71747	13.41473	0.010505357
2458428.62408	13.367825	0.010490666
2458429.64355	13.3888	0.010497176
2458430.6903	13.390241	0.010497627
2458431.67984	13.3624115	0.010489001
2458434.70856	13.39167	0.010498076
2458435.76418	13.381019	0.01049475
2458437.76132	13.387545	0.010496784
2458439.71311	13.397531	0.010499915
2458439.71356	13.388937	0.01049722
2458439.72267	13.453195	0.010517771
2458439.72312	13.383262	0.010495448
2458439.73244	13.391601	0.010498053
2458439.74071	13.403327	0.009431306
2458441.7137	13.406281	0.0105026765
2458441.71416	13.405349	0.01050238
2458441.72347	13.394832	0.010499066
2458441.72392	13.386027	0.010496311
2458441.78616	13.403879	0.010501916
2458442.76614	13.38248	0.010495204
2458443.59509	13.41701	0.009433755
2458447.8478	13.396793	0.010499682
2458449.72238	13.376502	0.010493347
2458449.72629	13.391942	0.0104981605
2458449.73212	13.38472	0.010495903
2458449.73791	13.397288	0.010499839
2458449.74509	13.39267	0.010498387
2458450.73968	13.396238	0.010499508
2458450.74014	13.396478	0.010499584
2458451.71669	13.383623	0.01049556
2458451.71777	13.401664	0.010501216
2458451.73225	13.404006	0.010501956
2458451.74128	13.390922	0.01049784
2458451.74173	13.376443	0.010493329
2458456.63609	13.39978	0.010500623
2458457.65987	13.407224	0.0105029745
2458469.60056	13.373015	0.010492268
2458471.64015	13.407789	0.010503153
2458472.60491	13.399618	0.010500572
2458474.63886	13.405732	0.010502502
2458475.66023	13.397179	0.010499804
2458476.61245	13.3924675	0.010498324
2458476.61341	13.394251	0.010498884
2458476.61436	13.4052105	0.010502337
2458476.61532	13.4073515	0.010503015
2458476.61628	13.38932	0.010497339
2458476.61723	13.405027	0.010502279
2458476.61819	13.413808	0.010505064
2458476.61915	13.389586	0.010497423
2458476.6201	13.408077	0.0105032455
2458476.62106	13.377111	0.0104935365
2458476.62297	13.397881	0.010500024
2458476.62392	13.405438	0.010502409
2458476.62488	13.3947525	0.0104990415
2458476.62584	13.405195	0.010502332
2458476.62679	13.39949	0.010500531
2458476.62775	13.406426	0.010502722
2458476.6287000002	13.397521	0.010499912
2458476.62966	13.384921	0.010495965
2458476.63061	13.395807	0.010499372
2458476.63157	13.404087	0.010501982
2458476.63253	13.398394	0.010500185
2458476.63348	13.404481	0.010502106
2458476.63444	13.405063	0.01050229
2458476.63539	13.380383	0.010494553
2458476.63635	13.392	0.010498177
2458476.63731	13.407818	0.010503163
2458476.63826	13.395347	0.010499228
2458476.63922	13.400046	0.010500707
2458476.64017	13.407157	0.010502953
2458476.64113	13.402509	0.010501483
2458476.64209	13.396332	0.010499538
2458476.64304	13.408703	0.010503442
2458476.644	13.399077	0.0105004
2458476.64495	13.387457	0.010496756
2458476.64591	13.3972435	0.010499825
2458476.64686	13.39783	0.010500008
2458476.64782	13.395042	0.010499133
2458476.64878	13.406294	0.01050268
2458476.64973	13.396547	0.010499606
2458476.65069	13.406336	0.010502693
2458476.65164	13.400037	0.010500704
2458476.6526	13.382108	0.010495089
2458476.65356	13.393679	0.010498704
2458476.65451	13.405811	0.010502527
2458476.65547	13.393656	0.010498697
2458476.65642	13.399164	0.010500429
2458476.65738	13.4101925	0.010503915
2458476.65834	13.404369	0.01050207
2458476.65929	13.414251	0.010505205
2458476.66025	13.40923	0.01050361
2458476.6612	13.38365	0.010495569
2458476.66216	13.436678	0.0105123995
2458476.66311	13.410245	0.010503932
2458476.66407	13.404837	0.010502218
2458476.66503	13.387618	0.010496807
2458476.66598	13.406079	0.010502611
2458476.66694	13.411749	0.01050441
2458476.66789	13.381791	0.010494989
2458476.68797	13.411909	0.010504461
2458476.69082	13.391662	0.010498073
2458476.69178	13.42784	0.010509551
2458476.69369	13.396792	0.010499682
2458476.69562	13.418197	0.010506463
2458476.69656	13.392582	0.01049836
2458476.69752	13.427986	0.010509598
2458476.69847	13.413794	0.01050506
2458476.69943	13.405799	0.010502523
2458476.7004	13.403459	0.010501782
2458476.70134	13.374871	0.010492842
2458476.7023	13.411147	0.010504218
2458476.70325	13.398845	0.010500328
2458476.70421	13.40532	0.010502372
2458476.70516	13.404241	0.01050203
2458476.70612	13.40608	0.010502611
2458476.70708	13.408758	0.010503461
2458476.70803	13.403831	0.010501901
2458476.70899	13.415952	0.010505746
2458476.70994	13.398851	0.01050033
2458476.7109	13.407586	0.01050309
2458476.71185	13.403724	0.010501866
2458476.71281	13.406905	0.010502873
2458476.71377	13.405294	0.010502364
2458476.71472	13.395908	0.010499405
2458476.71568	13.421336	0.010507465
2458476.71663	13.404838	0.010502218
2458476.71759	13.412851	0.01050476
2458476.71855	13.410531	0.010504022
2458476.7195	13.417714	0.01050631
2458476.72046	13.390966	0.010497855
2458476.7214099998	13.413858	0.010505081
2458476.72237	13.409882	0.010503816
2458476.72332	13.402388	0.010501445
2458476.72428	13.408337	0.010503327
2458476.72524	13.4077835	0.010503151
2458476.72619	13.396641	0.010499635
2458476.72715	13.402224	0.010501393
2458476.7281	13.408755	0.010503459
2458476.72906	13.397417	0.010499879
2458476.73001	13.414341	0.010505233
2458476.73097	13.3956175	0.0104993135
2458476.73193	13.408802	0.010503474
2458476.73288	13.404142	0.0105019985
2458476.73384	13.408777	0.010503465
2458476.73479	13.398764	0.010500303
2458476.73575	13.407259	0.010502986
2458476.73671	13.388982	0.010497233
2458476.73766	13.416133	0.010505805
2458476.73862	13.396897	0.010499716
2458476.73957	13.403955	0.01050194
2458476.74053	13.401963	0.010501311
2458476.74149	13.4154	0.010505571
2458476.74244	13.395283	0.010499208
2458476.7434	13.395988	0.01049943
2458476.74435	13.399094	0.010500407
2458476.74531	13.402083	0.010501349
2458476.74626	13.384244	0.010495754
2458476.74722	13.392284	0.010498267
2458476.74818	13.411439	0.010504311
2458476.74913	13.39346	0.0104986355
2458476.75009	13.4084015	0.010503347
2458476.75104	13.392723	0.0104984045
2458476.752	13.397439	0.010499886
2458476.75296	13.388218	0.0104969945
2458476.75391	13.404437	0.010502093
2458476.75487	13.398173	0.010500116
2458476.75583	13.410719	0.010504082
2458476.75678	13.402373	0.010501441
2458476.75774	13.419632	0.0105069205
2458480.70768	13.397297	0.010499841
2458480.70864	13.399684	0.010500592
2458480.70959	13.370418	0.010491465
2458480.71055	13.383627	0.010495561
2458480.7115	13.380757	0.010494668
2458480.71246	13.406949	0.010502887
2458480.71341	13.404355	0.010502066
2458480.71437	13.412797	0.010504743
2458480.71533	13.430124	0.010510284
2458480.71628	13.372868	0.010492222
2458480.71724	13.385552	0.010496162
2458480.71819	13.370125	0.010491375
2458480.72011	13.382464	0.0104952
2458480.72106	13.379402	0.010494247
2458480.72202	13.370048	0.010491351
2458480.72297	13.394309	0.010498903
2458480.72393	13.418146	0.010506447
2458480.72488	13.364209	0.010489552
2458480.72584	13.379071	0.010494145
2458480.7268	13.398156	0.010500111
2458480.72775	13.407435	0.010503042
2458480.72871	13.378558	0.010493985
2458480.72966	13.396994	0.010499747
2458480.73062	13.383847	0.01049563
2458480.73157	13.391149	0.010497912
2458480.73253	13.3873625	0.010496726
2458480.73349	13.388293	0.010497018
2458480.73444	13.394637	0.010499005
2458480.7354	13.400474	0.010500842
2458480.73635	13.387035	0.010496625
2458480.7373099998	13.379261	0.010494204
2458480.73827	13.388354	0.010497037
2458480.73922	13.414493	0.010505282
2458480.74018	13.38004	0.010494446
2458480.74113	13.40099	0.010501004
2458480.74209	13.378267	0.010493895
2458480.74305	13.43854	0.010513002
2458480.744	13.410509	0.010504016
2458480.74496	13.399721	0.010500604
2458480.74591	13.374815	0.010492825
2458480.74687	13.391836	0.010498127
2458480.74783	13.394937	0.010499099
2458480.74878	13.394698	0.010499025
2458480.74974	13.386333	0.010496405
2458480.75069	13.405516	0.010502433
2458480.75165	13.375843	0.010493143
2458480.75261	13.399256	0.010500457
2458480.75356	13.372	0.010491954
2458480.75452	13.408972	0.010503528
2458480.75548	13.389827	0.010497497
2458480.75643	13.369821	0.010491281
2458480.75739	13.379029	0.010494132
2458480.7593	13.3950615	0.010499138
2458480.76026	13.365008	0.010489798
2458480.76121	13.381221	0.010494812
2458480.76217	13.378087	0.010493839
2458486.60469	13.397105	0.010499781
2458490.63573	13.35111	0.010485544
2458494.59085	13.410705	0.010504078
2458511.61765	13.404677	0.010502168
2458601.99419	13.398633	0.010500261
2458605.9481	13.406452	0.0105027305
2458607.99086	13.395256	0.010499199
2458608.98495	13.411895	0.010504456
2458634.92781	13.406383	0.010502708
2458636.92456	13.40327	0.010501723
2458637.92864	13.416824	0.010506025
2458638.97268	13.3923435	0.010498285
2458639.91153	13.422007	0.01050768
2458640.96983	13.419632	0.0105069205
2458641.97279	13.395043	0.010499133
2458643.96735	13.408708	0.010503444
2458644.973	13.391754	0.010498101
2458646.96998	13.3965	0.01049959
2458650.92842	13.405444	0.010502411
2458651.93377	13.40637	0.010502704
2458652.94484	13.407787	0.010503152
2458653.9501900002	13.396684	0.010499648
2458654.9503	13.38422	0.0104957465
2458657.92666	13.396751	0.01049967
2458663.9342	13.889523	0.010685726
2458665.94502	13.410573	0.010504035
2458666.93337	13.41145	0.010504315
2458667.9688	13.38522	0.0104960585
2458668.86483	13.400533	0.01050086
2458669.92502	13.39831	0.01050016
2458670.96626	13.402132	0.010501365
2458672.97415	13.394052	0.010498822
2458673.95366	13.399963	0.010500681
2458674.97119	13.413603	0.010505
2458676.97499	13.3980255	0.01050007
2458677.80582	13.384436	0.0104958145
2458681.91536	13.396728	0.009430138
2458681.91581	13.393362	0.009429546
2458682.91566	13.390528	0.00942905
2458682.91611	13.382446	0.009427641
2458683.91084	13.401176	0.009430924
2458683.91129	13.387242	0.009428475
2458683.92335	13.423467	0.010508148
2458685.93236	13.387658	0.009428548
2458685.93281	13.383546	0.0094278315
2458690.9074	13.412488	0.010504644
2458693.88555	13.406712	0.010502812
2458696.88318	13.406943	0.010502885
2458699.88688	13.407663	0.010503113
2458702.89556	13.427577	0.010509467
2458705.95754	13.414396	0.010505252
2458706.85316	13.405261	0.00943165
2458706.85361	13.395556	0.009429932
2458708.99387	13.404614	0.010502148
2458710.86679	13.390804	0.009429098
2458710.86725	13.3738785	0.009426162
2458711.83368	13.402445	0.009431149
2458711.83413	13.396936	0.009430176
2458711.90648	13.403395	0.010501763
2458712.86152	13.390261	0.009429002
2458712.86199	13.384983	0.009428081
2458713.87212	13.387194	0.009428467
2458713.87258	13.379598	0.009427148
2458714.86922	13.404187	0.010502012
2458714.89042	13.39965	0.009430654
2458714.8908700002	13.400048	0.009430724
2458715.88705	13.384113	0.009427929
2458715.8875	13.384568	0.009428009
2458716.93158	13.385035	0.00942809
2458716.93204	13.406245	0.009431825
2458717.82259	13.390248	0.01049763
2458717.8235	13.389519	0.0104974015
2458719.83517	13.379993	0.0104944315
2458719.95091	13.393628	0.009429593
2458719.95136	13.3944645	0.009429739
2458722.82164	13.412005	0.010504492
2458723.88325	13.447233	0.010515825
2458723.88566	13.405138	0.010502314
2458726.81862	13.406039	0.010502599
2458730.89811	13.398924	0.010500353
2458733.88742	13.412743	0.010504725
2458733.88975	13.392881	0.010498454
2458735.88963	13.419093	0.010506749
2458736.92728	13.398526	0.010500227
2458736.92818	13.405339	0.010502378
2458738.67264	13.414662	0.010505335
2458738.72209	13.397386	0.0104998695
2458738.7318	13.392157	0.010498227
2458739.67158	13.389076	0.010497263
2458739.72158	13.493837	0.010531259
2458739.73128	13.613123	0.010573186
2458739.86185	13.399508	0.009430629
2458739.86229	13.401997	0.00943107
2458740.67203	13.394857	0.010499075
2458740.72187	13.583181	0.01056232
2458740.73157	13.725266	0.010616069
2458740.90304	13.387834	0.009428578
2458740.90349	13.365243	0.009424685
2458741.67221	13.397427	0.010499882
2458741.72198	13.390987	0.010497862
2458741.73167	13.403071	0.010501661
2458741.86254	13.406329	0.009431841
2458741.86299	13.388141	0.009428632
2458743.67332	13.391288	0.010497956
2458743.72172	13.391855	0.0104981335
2458743.73141	13.397188	0.010499807
2458743.86872	13.402437	0.010501461
2458744.67236	13.395125	0.010499159
2458744.72215	13.421007	0.01050736
2458744.73185	13.399086	0.010500404
2458744.87399	13.398553	0.010500236
2458745.67249	13.403808	0.010501893
2458745.72233	13.402766	0.010501565
2458745.73203	13.415429	0.01050558
2458745.8493	13.385983	0.010496297
2458745.91385	13.3883505	0.009428669
2458745.9143	13.385535	0.009428177
2458746.69697	13.376327	0.0104932925
2458746.72638	13.384714	0.010495901
2458746.73606	13.386499	0.010496457
2458747.67243	13.404934	0.010502249
2458747.72078	13.407716	0.01050313
2458747.73048	13.393665	0.0104987
2458748.67157	13.705746	0.010608347
2458748.72203	13.381081	0.010494769
2458748.73172	13.39796	0.010500049
2458748.90724	13.392587	0.00942941
2458748.90769	13.373597	0.009426113
2458749.6731	13.399699	0.010500597
2458749.72186	13.393331	0.010498595
2458749.73156	13.404424	0.010502088
2458750.67341	13.420105	0.010507071
2458750.72219	13.378952	0.010494107
2458750.73189	13.400986	0.010501003
2458751.67106	13.365503	0.010489951
2458751.72199	13.405863	0.010502543
2458751.73168	13.40563	0.01050247
2458754.67076	13.402087	0.01050135
2458754.72127	13.402216	0.010501391
2458754.73098	13.404745	0.010502189
2458757.808	13.39142	0.010497997
2458758.67991	13.396135	0.0104994755
2458758.72643	13.383247	0.010495443
2458758.73612	13.39436	0.010498918
2458758.80764	13.405876	0.010502548
2458759.82317	13.398729	0.009430491
2458760.67237	13.41009	0.010503883
2458760.72254	13.396104	0.010499466
2458760.73225	13.387648	0.010496816
2458760.79057	13.38637	0.010496416
2458761.67139	13.382655	0.010495259
2458761.72148	13.390044	0.010497565
2458761.73119	13.39085	0.010497818
2458762.67112	13.391971	0.010498169
2458762.72303	13.403383	0.010501759
2458762.73274	13.396956	0.010499734
2458763.67244	13.422337	0.010507786
2458763.72262	13.405212	0.0105023375
2458763.7321	13.401778	0.010501253
2458763.78126	13.377033	0.009426704
2458763.78171	13.379339	0.009427103
2458764.65267	13.571495	0.010558143
2458764.7185	13.389683	0.010497453
2458764.72531	13.376575	0.010493371
2458765.65412	13.405196	0.010502333
2458765.7075	13.4041	0.009431443
2458765.70796	13.387336	0.009428492
2458765.71711	13.395781	0.010499364
2458765.72394	13.400016	0.0105006965
2458766.65275	13.395819	0.010499376
2458766.7182	13.397822	0.010500006
2458766.72503	13.411973	0.01050448
2458767.65323	13.388118	0.010496963
2458768.65456	13.396809	0.010499687
2458768.71678	13.414361	0.01050524
2458768.72361	13.403856	0.010501908
2458769.65447	13.409466	0.010503685
2458769.71818	13.382106	0.010495088
2458769.72501	13.408508	0.0105033815
2458770.65454	13.397064	0.010499769
2458770.71716	13.40561	0.010502463
2458770.72399	13.395777	0.010499363
2458770.80684	13.380086	0.009427232
2458770.80729	13.377694	0.009426818
2458771.65476	13.377075	0.010493525
2458771.71821	13.4001255	0.010500731
2458771.72502	13.416108	0.010505796
2458771.79037	13.398434	0.00943044
2458771.79082	13.392434	0.009429382
2458772.65507	13.407202	0.010502967
2458773.6537	13.402366	0.010501439
2458774.65398	13.396807	0.010499687
2458775.65371	13.39411	0.010498839
2458776.65293	13.400942	0.010500989
2458777.65334	13.390934	0.010497844
2458778.65353	13.395705	0.0104993405
2458779.65332	13.372946	0.010492247
2458781.65321	13.399456	0.010500521
2458782.6523	13.397238	0.010499823
2458783.65349	13.382368	0.010495169
2458785.65311	13.388053	0.010496942
2458786.66	13.391096	0.010497895
2458787.65234	13.386724	0.010496527
2458788.65321	13.3916235	0.010498061
2458789.65358	13.382341	0.010495162
2458789.76578	13.389789	0.010497485
2458790.64278	13.403969	0.0105019435
2458790.68137	13.397391	0.010499871
2458792.65988	13.389683	0.010497453
2458793.61271	13.39054	0.010497721
2458796.61579	13.389564	0.010497415
2458798.7526599998	13.385926	0.010496279
2458799.72815	13.39115	0.010497912
2458803.74452	13.4035015	0.010501796
2458806.7216	13.40236	0.010501436
2458811.63819	13.379752	0.010494357
2458814.66628	13.403657	0.010501846
2458819.66535	13.406797	0.010502839
2458828.78744	13.387926	0.010496903
2458833.59296	13.377556	0.010493674
2458837.57782	13.3841095	0.010495712
2458846.62321	13.387457	0.010496756
2458850.61223	13.393468	0.010498638
2458854.65745	13.373533	0.010492428
2458856.63712	13.371264	0.010491727
