JD            mag
2447062.49600 16.25990
2445644.31200 16.23170
2445647.31700 16.28020
2445647.35000 16.29000
2445663.16000 16.09700
2445663.19300 16.27740
2445665.25900 16.32230
2445674.17100 16.56490
2445882.48100 16.28280
2445908.42100 16.46960
2445913.47800 16.23980
2445914.47700 16.15240
2445915.45700 16.07710
2445918.53400 16.81160
2445933.40800 16.18460
2445939.47200 16.32300
2445945.49000 16.15250
2445946.42400 16.10220
2445947.49300 16.15160
2445948.49100 16.15400
2445964.53000 16.25500
2445965.38400 16.14740
2445969.26600 16.12780
2445969.33700 16.17760
2445969.37000 16.10300
2445969.40300 16.18920
2445969.43600 16.14500
2445969.46800 16.24110
2445969.50200 16.34890
2445969.53400 16.08180
2445969.56700 16.35900
2445972.46800 16.28160
2445974.44300 16.31750
2446030.33200 16.20660
2446265.50700 16.25640
2446301.42100 16.11600
2446304.43700 16.34170
2446325.40700 16.15740
2446326.40800 17.01070
2446329.40700 16.06910
2446352.43200 16.28340
2446360.41500 16.21290
2446380.30700 16.15440
2446382.36000 16.29710
2446406.28500 16.64240
2446410.27800 16.74970
2446413.26700 16.11740
2446645.50000 16.21290
2446651.49600 16.06970
2446654.51100 16.21160
2446686.42500 16.22640
2446706.42100 16.27120
2446709.42200 16.04260
2446712.40300 16.52880
2446714.41900 16.23750
2446730.31600 16.23850
2446761.26400 16.15670
2446763.17500 16.19630
2446768.21900 16.87340
2446769.21000 16.15190
2447035.45800 16.08750
2447041.55500 16.22180
2447057.42700 16.13690
2445642.36800 16.34000
2447091.32200 16.17380
2447387.46700 16.10100
2447389.42900 16.21900
2447393.47800 16.30800
2447395.41800 16.18030
2447396.38200 16.50090
2447410.41100 16.18880
2447418.45600 16.23220
2447419.35100 16.18560
2447420.43400 16.75900
2447422.33500 16.15950
2447424.46400 16.16210
2447436.30500 16.54400
2447442.33700 16.27050
2447449.29200 16.18770
2447451.27800 16.06710
2447468.19100 16.14370
2447477.22500 16.27000
2447765.43500 16.25940
2447766.54200 16.26300
2447773.48700 16.18920
2447792.40300 16.17570
2447798.41500 16.59380
2447802.43400 16.32860
2447821.40300 16.21850
2447826.33700 17.24390
2447826.44100 16.12320
2447835.22900 16.16910
2447851.24300 16.13180
2448532.23700 16.16720
2448811.50800 16.18780
2450371.33000 16.10320
